Station Name,Zone,Address,Post Code District
Pimlico Underground Station,1,"Pimlico Station,London Underground Ltd.,Bessborough St,London,SW1V 2JA",SW1V
Elverson Road DLR Station,2+3,null,null
Watford Underground Station,7,"Watford Station,London Underground Ltd.,Cassiobury Park Avenue,Watford,Herts,WD18 7LE",WD18
Crossharbour DLR Station,2,null,null
Hanger Lane Underground Station,3,"Hanger Lane Station,London Underground Ltd.,Hanger Lane,London,W5 1DL",W5
Elm Park Underground Station,6,"Elm Park Station,London Underground Ltd.,The Broadway,Hornchurch,Essex,RM12 4RW",RM12
Alperton Underground Station,4,"Alperton Station,London Underground Ltd.,Ealing Rd,Wembley,Middlesex,HA0 4LL",HA0
Hounslow East Underground Station,4,"Hounslow East Station,London Underground Ltd.,Kingsley Rd,Hounslow,Middx,TW3 4AB",TW3
Brixton Underground Station,2,"Brixton Underground Station,London Underground Ltd.,Brixton Rd,London,SW9 8HE",SW9
Kenton Underground Station,4,"Kenton,London Overground Ltd.,Kenton Road,Harrow,HA3 0AZ",HA3
Edgware Road (Bakerloo) Underground Station,1,"Edgware Road Bakerloo,London Underground Ltd.,Edgware Road,London,W2 1DY",W2
Harlesden Underground Station,3,"Harlesden,London Overground Ltd,Acton Lane,LONDON,NW10 7AA",NW10
Warwick Avenue Underground Station,2,"Warwick Avenue Station,London Underground Ltd.,Warwick Avenue,London,W9 2PT",W9
Stepney Green Underground Station,2,"Stepney Green Station,London Underground Ltd.,Mile End Rd,London,E1 4AQ",E1
Moorgate Underground Station,1,"Moorgate Station,London Underground Ltd.,Moorfields,London,EC2Y 9AE",EC2Y
Mudchute DLR Station,2,null,null
Queensway Underground Station,1,"Queensway Station,London Underground Ltd.,Bayswater Rd,London,W2 4SS",W2
Piccadilly Circus Underground Station,1,"Piccadilly Circus Station,London Underground Ltd.,Piccadilly Circus,London,W1J 9HP",W1J
St. James's Park Underground Station,1,"St. James's Park,London Underground Ltd.,Petty France,London,SW1H 0BD",SW1H
Hammersmith (H&C Line) Underground Station,2,"Hammersmith (H & C),London Underground Ltd.,Beadon Road,London,W6 7AA",W6
Notting Hill Gate Underground Station,1+2,"Notting Hill Gate Station,London Underground Ltd.,Notting Hill Gate,London,W11 3HT",W11
Chalk Farm Underground Station,2,"Chalk Farm Station,London Underground Ltd.,Adelaide Rd,London,NW3 2BP",NW3
Stratford International DLR Station,2/3,null,null
Bermondsey Underground Station,2,"Bermondsey Station,London Underground Ltd.,142 - 154 Jamaica Rd,London,SE16 4RX",SE16
Dagenham Heathway Underground Station,5,"Dagenham Heathway Station,London Underground Ltd.,Heathway,Dagenham,Essex,RM9 5AN",RM9
London City Airport DLR Station,3,null,null
Mile End Underground Station,2,"Mile End Station,London Underground Ltd.,Mile End Rd,London,E3 4DH",E3
Limehouse DLR Station,2,null,null
Gants Hill Underground Station,4,"Gants Hill Station,London Underground Ltd.,Cranbrook Rd,Ilford,Essex,IG2 6UD",IG2
Chesham Underground Station,9,"Chesham Station,London Underground Ltd.,Station Approach,Chesham,Bucks,HP5 1DH",HP5
West Harrow Underground Station,5,"West Harrow Station,London Underground Ltd.,Vaughan Rd,Harrow,Middx,HA1 4HE",HA1
High Street Kensington Underground Station,1,"High Street Kensington Station,London Underground Ltd.,Kensington High St,London,W8 5SA",W8
Bayswater Underground Station,1,"Bayswater Station,London Underground Ltd.,Queensway,London,W2 4RH",W2
West Silvertown DLR Station,3,null,null
Grange Hill Underground Station,4,"Grange Hill Station,London Underground Ltd.,Manor Rd,Chigwell,Essex,IG7 5QB",IG7
Edgware Underground Station,5,"Edgware Station,London Underground Ltd.,Station Rd,Edgware,Middx,HA8 7AW",HA8
Royal Victoria DLR Station,3,null,null
Gallions Reach DLR Station,3,null,null
Marble Arch Underground Station,1,"Marble Arch Station,London Underground Ltd.,Oxford St,London,W1C 1CX",W1C
West Kensington Underground Station,2,"West Kensington Station,London Underground Ltd.,North End Rd,London,W14 9NL",W14
South Quay DLR Station,2,null,null
Tottenham Court Road Underground Station,1,"Tottenham Court Road Station,London Underground Ltd.,Oxford St,London,W1",W1
Hendon Central Underground Station,3+4,"Hendon Central Station,London Underground Ltd.,Queens Rd,London,NW4 3AS",NW4
Rickmansworth Underground Station,7,"Rickmansworth Station,London Underground Ltd.,Station Approach,Rickmansworth,Herts,WD3 1QY",WD3
White City Underground Station,2,"White City Station,London Underground Ltd.,Wood Lane,London,W12 7RH",W12
Ruislip Underground Station,6,"Ruislip Station,London Underground Ltd.,Station Approach,Ruislip,Middx,HA4 8LD",HA4
Knightsbridge Underground Station,1,"Knightsbridge Station,London Underground Ltd.,Sloane St,London,SW1",SW1
Hounslow Central Underground Station,4,"Hounslow Central Station,London Underground Ltd.,Lampton Rd,Hounslow,Middx,TW3 1JG",TW3
Ruislip Gardens Underground Station,5,"Ruislip Gardens Station,London Underground Ltd.,West End Rd,Ruislip,Middx,HA4 6NF",HA4
Dollis Hill Underground Station,3,"Dollis Hill Station,London Underground Ltd.,Hamilton Rd,London,NW10 5NB",NW10
Upton Park Underground Station,3,"Upton Park Station,London Underground Ltd.,Green St,London,E13 9AP",E13
Clapham Common Underground Station,2,"Clapham Common Station,London Underground Ltd.,The Pavement,London,SW4 7AJ",SW4
Sloane Square Underground Station,1,"Sloane Square Station,London Underground Ltd.,Sloane Square,London,SW1W 8BB",SW1W
Turnpike Lane Underground Station,3,"Turnpike Lane Station,London Underground Ltd.,Westbury Avenue,London,N15 3NX",N15
Wimbledon Park Underground Station,3,"Wimbledon Park Station,Arthur Rd,London,SW19",SW19
Stonebridge Park Underground Station,3,"Stonebridge Park,London Overground Ltd.,North Circular Road,London,NW10 0RL",NW10
Holborn Underground Station,1,"Holborn Station,London Underground Ltd.,Kingsway,London,WC2B 6AA",WC2B
Newbury Park Underground Station,4,"Newbury Park Station,London Underground Ltd.,Eastern Avenue,Ilford,Essex,IG2 7RN",IG2
Loughton Underground Station,6,"Loughton Station,London Underground Ltd.,Old Station Rd,Roding Rd,Loughton,Essex,IG10 4PD",IG10
Seven Sisters Underground Station,3,"Seven Sisters Underground Station,London Underground Ltd.,Seven Sisters Rd,London",null
West India Quay DLR Station,2,null,null
Harrow-on-the-Hill Underground Station,5,null,null
Holloway Road Underground Station,2,"Holloway Road Station,London Underground Ltd.,Holloway Rd,London,N7 8HS",N7
Mornington Crescent Underground Station,2,"Mornington Crescent Station,London Underground Ltd.,Eversholt St,London,NW1 2JA",NW1
King George V DLR Station,3,null,null
Kingsbury Underground Station,4,"Kingsbury Station,London Underground Ltd.,Kingsbury Rd,London,NW9 9EG",NW9
Northfields Underground Station,3,"Northfields Station,London Underground Ltd.,Northfield Avenue,London,W13 9QU",W13
Green Park Underground Station,1,"Green Park Station,London Underground Ltd.,Piccadilly,London,W1J 9DZ",W1J
North Acton Underground Station,2+3,"North Acton Station,London Underground Ltd.,Victoria Rd,London,W3 6UP",W3
Harrow & Wealdstone Underground Station,5,"Harrow & Wealdstone,London Overground Ltd.,High Street,Harrow,HA3 5BP",HA3
West Finchley Underground Station,4,"West Finchley Station,London Underground Ltd.,Nether Street,London,N3 1NT",N3
Uxbridge Underground Station,6,"Uxbridge Station,London Underground Ltd.,High St,Uxbridge,Middx,UB8 1JZ",UB8
South Woodford Underground Station,4,"South Woodford Station,London Underground Ltd.,George Lane,London,E18 1JJ",E18
Tower Gateway DLR Station,1,null,null
Finchley Road Underground Station,2,"Finchley Road Underground Station,London Underground Ltd.,Finchley Road,London,NW3 6OP",NW3
St. John's Wood Underground Station,2,"St. John's Wood,London Underground Ltd.,Wellington Road,London,NW8 6DN",NW8
North Greenwich Underground Station,2+3,"North Greenwich Station,London Underground Ltd.,5 Millenium Way,London,SE10 0PH",SE10
Snaresbrook Underground Station,4,"Snaresbrook Station,London Underground Ltd.,Station Approach,London,E11 1QE",E11
Westbourne Park Underground Station,2,"Westbourne Park Station,London Underground Ltd.,Western Rd,London,W11 1AB",W11
Whitechapel Underground Station,2,"Whitechapel Station,London Underground Ltd.,277 Whitechapel Rd,London,E1 1BY",E1
East Ham Underground Station,3+4,"East Ham Station,London Underground Ltd.,High Street North,London,E6 2JA",E6
Aldgate East Underground Station,1,"Aldgate East Station,London Underground Ltd.,Whitechapel High St,London,E1 7PT",E1
Burnt Oak Underground Station,4,"Burnt Oak Station,London Underground Ltd.,Watling Avenue,Edgware,Middx,HA8 0LA",HA8
East Putney Underground Station,2+3,"East Putney Station,Upper Richmond Rd,London,SW15",SW15
Hyde Park Corner Underground Station,1,"Hyde Park Corner Station,London Underground Ltd.,Knightsbridge,London,SW1X 7LY",SW1X
Goodge Street Underground Station,1,"Goodge Street Station,London Underground Ltd.,75 Tottenham Court Rd,London,W1P 9PA",W1P
North Wembley Underground Station,4,"North Wembley,London Overground Ltd.,East Lane,Wembley,HA9 7NT",HA9
Hainault Underground Station,4,"Hainault Station,London Underground Ltd.,New North Rd,Ilford,Essex,IG6 3BD",IG6
Stratford Underground Station,2/3,"Stratford Station BR Station St,London,E15 1DE",E15
Willesden Green Underground Station,2+3,"Willesden Green Station,London Underground Ltd.,Walm Lane,London,NW2 4QT",NW2
Chancery Lane Underground Station,1,"Chancery Lane Station,London Underground Ltd.,High Holborn,London,WC1V 6DR",WC1V
South Ealing Underground Station,3,"South Ealing Station,London Underground Ltd.,South Ealing Rd,London,W5 4QB",W5
Beckton DLR Station,3,null,null
Swiss Cottage Underground Station,2,"Swiss Cottage Station,London Underground Ltd.,Finchley Rd,London,NW3 6HY",NW3
South Harrow Underground Station,5,"South Harrow Station,London Underground Ltd.,South Hill Ave,Harrow,Middx,HA2 8HN",HA2
Custom House (for ExCel) DLR Station,3,null,null
East Finchley Underground Station,3,"East Finchley Station,London Underground Ltd.,High Rd,London,N2 0NW",N2
Queensbury Underground Station,4,"Queensbury Station,London Underground Ltd.,Cumberland Rd,Harrow,Middx,HA8 5NP",HA8
North Ealing Underground Station,3,"North Ealing Station,London Underground Ltd.,Station Road,London,W5 3AF",W5
Pontoon Dock DLR Station,3,null,null
Southfields Underground Station,3,"Southfields Station,Wimbledon Park Rd,London,SW18",SW18
Mill Hill East Underground Station,4,"Mill Hill East Station,London Underground Ltd.,Bittacy Hill,London,NW7 1BS",NW7
Royal Oak Underground Station,2,"Royal Oak Station,London Underground Ltd.,Lord Hills Bridge,London,W2 6ET",W2
Heron Quays DLR Station,2,null,null
Belsize Park Underground Station,2,"Belsize Park Station,London Underground Ltd.,Haverstock Hill,London,NW3 2AL",NW3
Finsbury Park Underground Station,2,"Finsbury Park Underground Station,London Underground Ltd.,Wells Terrace,London,N4 3JU",N4
Putney Bridge Underground Station,2,"Putney Bridge Station,London Underground Ltd.,Station Approach,London,SW6 3UH",SW6
Southgate Underground Station,4,"Southgate Station,London Underground Ltd.,High St,London,N14",N14
